,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at
25942,05/22/2021,WV,159940,205,2772,0,05/23/2021 01:37:59 PM
25943,06/22/2020,MA,102469,136,7960,21,06/24/2020 12:00:00 AM
25944,02/26/2021,WV,131234,421,2291,1,02/27/2021 02:51:23 PM
25945,06/15/2020,AR,12917,416,182,3,06/16/2020 02:10:11 PM
25946,09/09/2020,PR,36279,772,512,12,09/10/2020 02:02:53 PM
25947,09/28/2020,OK,91937,883,1349,10,09/29/2020 12:00:00 AM
25948,06/22/2020,AS,0,0,0,0,06/23/2020 02:28:19 PM
25949,08/01/2020,AS,0,0,0,0,08/02/2020 02:54:37 PM
25950,02/05/2021,AK,53433,160,308,0,02/05/2021 12:00:00 AM
25951,03/30/2021,PR,107105,170,2113,1,03/31/2021 02:08:03 PM
25952,05/31/2020,OK,7427,92,364,1,06/01/2020 12:00:00 AM
25953,06/16/2020,AR,13191,274,188,6,06/17/2020 03:06:04 PM
25954,11/14/2020,WV,32792,1153,574,9,11/15/2020 03:12:13 PM
25955,10/03/2020,HI,12768,69,142,0,10/04/2020 09:35:23 AM
25956,05/06/2020,FL,38002,563,1539,68,05/07/2020 10:59:02 PM
25957,11/16/2020,GA,426236,1247,8967,10,11/17/2020 02:52:47 PM
25958,05/05/2020,MP,15,1,2,0,05/06/2020 04:23:08 PM
25959,10/01/2020,AK,8029,138,71,2,10/01/2020 12:00:00 AM
25960,03/23/2020,AK,38,13,1,0,03/23/2020 12:00:00 AM
25961,04/04/2020,HI,388,15,4,1,04/03/2020 12:22:39 PM
25962,02/16/2020,NYC,0,0,0,0,03/26/2020 04:22:39 PM
25963,07/05/2020,MP,31,0,2,0,07/06/2020 03:16:12 PM
25964,09/12/2020,WV,12521,347,265,2,09/13/2020 04:17:15 PM
25965,04/26/2021,HI,32349,65,475,0,04/27/2021 01:56:18 PM
25966,07/19/2020,PW,0,0,0,0,07/20/2020 02:35:44 PM
25967,05/01/2021,FL,2197023,5328,35239,78,05/02/2021 02:13:07 PM
25968,07/02/2020,AK,1020,38,18,0,07/02/2020 12:00:00 AM
25969,03/26/2020,AK,63,14,3,2,03/26/2020 12:00:00 AM
25970,01/07/2021,GA,723630,9790,11230,65,01/08/2021 03:56:01 PM
25971,02/01/2020,AK,0,0,0,0,03/26/2020 04:22:39 PM
25972,06/19/2020,HI,788,12,17,0,06/20/2020 10:15:45 AM
25973,05/23/2020,MA,91662,763,6750,72,05/25/2020 12:00:00 AM
25974,09/15/2020,GA,310866,1848,6398,45,09/16/2020 09:53:41 AM
25975,05/14/2020,AR,4348,112,98,1,05/15/2020 04:11:22 PM
25976,04/15/2021,AK,63081,186,341,0,04/15/2021 12:00:00 AM
25977,02/03/2021,UT,350000,1591,1697,12,02/04/2021 02:53:58 PM
25978,10/12/2020,KS,67862,2055,771,8,10/13/2020 01:29:38 PM
25979,02/06/2021,MA,540827,3619,15197,48,02/08/2021 12:00:00 AM
25980,04/15/2021,AS,0,0,0,0,04/16/2021 02:12:25 PM
25981,10/14/2020,HI,13636,98,183,10,10/15/2020 01:30:46 PM
25982,01/21/2021,PR,89282,554,1761,29,01/22/2021 02:51:49 PM
25983,07/20/2020,AR,33927,699,363,6,07/21/2020 02:50:17 PM
25984,09/01/2020,MA,119138,354,9084,16,09/03/2020 12:00:00 AM
25985,08/06/2020,UT,43606,510,331,3,08/07/2020 11:57:59 PM
